N/A,Pinyin,Definition,Radical,stroke_count,hsk_level,id_in_standard_specification,frequency_rank,converted_pinyin,raw_pinyin
绎,yì,to unravel or unreel silk/to interpret,糸,8,6,1349,3015.0,yi4,yi
睦,mù,friendly/amiable/peaceful,目,13,6,2897,3019.0,mu4,mu
窍,qiào,hole/opening/aperture,穴,10,6,2103,3020.0,qiao4,qiao
粥,zhōu,rice gruel/congee,米,12,6,2803,3021.0,zhou1,zhou
沧,cāng,blue/dark green/cold,水,7,6,866,3023.0,cang1,cang
怠,dài,idle/remiss/negligent/neglect,心,9,6,1747,3024.0,dai4,dai
咙,lóng,throat,口,8,6,1089,3027.0,long2,long
沛,pèi,abundant/full/copious/sudden,水,7,6,857,3032.0,pei4,pei
崭,zhǎn,high/steep/precipitous/new,山,11,6,2294,3035.0,zhan3,zhan
鞠,jū,bow/bend/rear/raise/nourish,革,17,6,3391,3037.0,ju1,ju
唾,tuò,spit/spit on/saliva,口,11,6,2287,3040.0,tuo4,tuo
洽,qià,to blend with/be in harmony/to penetrate/to cover/a river in Shenxi,水,9,6,1674,3039.0,qia4,qia
柬,jiǎn,letter/invitation/choose,木,9,6,1442,3047.0,jian3,jian
擎,qíng,lift up/hold up/support,手,16,6,3324,3052.0,qing2,qing
疤,bā,scar/cicatrix/birthmark,疒,9,6,1628,3055.0,ba1,ba
钝,dùn,blunt/obtuse/dull/flat/dull-witted,金,9,6,1526,3059.0,dun4,dun
氓,máng,people/subjects/vassals,氏,8,6,1226,3060.0,mang2,mang
杠,gāng,lever/pole/crowbar/sharpen,木,7,6,679,3066.0,gang1,gang
诬,wū,make false accusation/defame,言,9,6,1706,3069.0,wu2,wu
抒,shū,express/eliminate/relieve,手,7,6,659,3071.0,shu1,shu
侈,chǐ,luxurious/extravagant,人,8,6,1152,3081.0,chi3,chi
徘,pái,walk back and forth/hesitate,彳,11,6,2339,3084.0,pai2,pai
嗦,suo,suck,口,13,6,2904,3089.0,suo1,suo
狈,bèi,a legendary animal with short forelegs which rode a wolf,犬,7,6,813,3090.0,bei4,bei
搓,cuō,to rub or roll between the hands,手,12,6,2534,3098.0,cuo1,cuo
赁,lìn,rent/hire/hired person,貝,10,6,1965,3101.0,ren4,ren
婪,lán,covet/covetous/avaricious,女,11,6,2222,3112.0,lan2,lan
紊,wěn,confused/disorder,糸,10,6,2036,3113.0,wen4,wen
兢,jīng,fearful/cautious/wary,儿,14,6,3077,3117.0,jing1,jing
扒,bā,scratch/dig up/crawl/crouch,手,5,6,201,3121.0,ba1,ba
痪,huàn,paralysis/numbness of limbs,疒,12,6,2733,3128.0,huan4,huan
宵,xiāo,night/evening/dark,宀,10,6,2100,3131.0,xiao1,xiao
岔,chà,diverge/branch off/fork in road,山,7,6,802,3134.0,cha4,cha
韧,rèn,strong and pliable/resilient,韋,7,6,610,3137.0,ren4,ren
憋,biē,to suppress inner feelings/hasty,心,15,6,3289,3141.0,bie1,bie
衅,xìn,consecrate sacrificial vessels by smearing blood/rift,血,11,6,2338,3146.0,xin4,xin
隘,ài,narrow/confined/a strategic pass,阜,12,6,2807,3152.0,ai4,ai
濒,bīn,approach/be on verge of/near,水,16,6,3377,3153.0,bin1,bin
剔,tī,pick out/scrape off/scrape meat,刀,10,6,1896,3156.0,ti1,ti
淀,diàn,shallow water/swamp/swampy,水,11,6,2431,3159.0,dian4,dian
缉,jī,to sew in close stitches,糸,12,6,2816,3165.0,qi4,qi
斟,zhēn,to pour wine or tea into a cup/to gauge,斗,13,6,2846,3167.0,zhen1,zhen
拧,níng,pinch/twist/wring/determined,手,8,6,985,3178.0,ning2,ning
蔚,wèi,luxuriant/thick/ornamental,艸,14,6,3076,3188.0,wei4,wei
眶,kuàng,eye socket/rim of eye,目,11,6,2258,3191.0,kuang4,kuang
瀑,pù,waterfall/cascade/heavy rain,水,18,6,3448,3195.0,pu4,pu
渣,zhā,refuse/dregs/lees/sediment,水,12,6,2753,3196.0,zha1,zha
辙,zhé,wagon ruts/wheel tracks,車,16,6,3339,3208.0,che4,che
潇,xiāo,sound of beating wind and rain,水,14,6,3160,3216.0,xiao1,xiao
阱,jǐng,pitfall/trap/snare,阜,6,6,3638,3224.0,jing3,jing
哆,duō,tremble/shiver/shudder/quiver,口,9,6,1511,3231.0,duo1,chi
辫,biàn,braid/pigtail/plait/queue,辛,17,6,3426,3240.0,bian4,bian
拽,zhuāi,drag/tow/throw/twist,手,9,6,1380,3248.0,ye4,zhuai
滤,lǜ,strain out/filter,水,13,6,3009,3249.0,lv4,lu
睬,cǎi,notice/pay attention to,目,13,6,2901,3250.0,cai3,cai
谤,bàng,slander/libel,言,12,6,2797,3253.0,bang4,bang
捍,hàn,ward off/guard against/defend,手,10,6,1792,3255.0,han4,han
瘾,yǐn,rash/addiction/craving/habit,疒,16,6,3368,3258.0,yin3,yin
磋,cuō,polish/buff/scrutinize,石,14,6,5680,3261.0,cuo1,cuo
淆,xiáo,confused/in disarray/mixed up,水,11,6,2422,3263.0,yao2,yao
烘,hōng,bake/roast/dry by fire,火,10,6,2058,3266.0,hong1,hong
赂,lù,bribe/give present,貝,10,6,1926,3270.0,lu4,lu
炫,xuàn,shine/glitter/show off/flaunt,火,9,6,1659,3292.0,xuan4,xuan
迸,bèng,gush out/burst forth/split,辵,9,6,4321,3290.0,beng4,beng
嗨,hāi,an exclamation,口,13,6,5473,3294.0,hai1,hai
惰,duò,indolent/careless/lazy/idle,心,12,6,2772,3310.0,duo4,duo
椭,tuǒ,oval-shaped/elliptical/tubular,木,12,6,2579,3312.0,tuo3,tuo
侃,kǎn,upright and strong/amiable,人,8,6,3958,3315.0,kan3,kan
瞩,zhǔ,watch carefully/stare at/focus on,目,17,6,3405,3320.0,zhu3,zhu
蕾,lěi,buds/unopened flowers,艸,16,6,3320,3329.0,lei3,lei
炊,chuī,cook/meal,火,8,6,1235,3333.0,chui1,chui
隧,suì,tunnel/underground passageway/path to a tomb,阜,14,6,3182,3342.0,sui4,sui
啃,kěn,gnaw/chew/bite,口,11,6,2275,3345.0,ken3,ken
舔,tiǎn,lick with tongue/taste,舌,14,6,3117,3348.0,tian3,tian
蹬,dēng,step on/tread on/lose energy,足,19,6,3460,3349.0,deng4,deng
袱,fú,a piece of cloth used wrap bundles,衣,11,6,2463,3352.0,fu2,fu
殴,ōu,beat/fight with fists/hit,殳,8,6,1054,3354.0,ou1,ou
侥,jiǎo,be lucky/by chance/by luck,人,8,6,1142,3359.0,jiao3,jiao
酝,yùn,liquor/spirits/wine/ferment,酉,11,6,2236,3362.0,yun4,yun
澈,chè,thoroughly/completely,水,15,6,3297,3365.0,che4,che
锈,xiù,rust/corrode,金,12,6,2663,3366.0,xiu4,xiu
稠,chóu,dense/crowded/packed/soupy,禾,13,6,2949,3367.0,chou2,chou
搀,chān,give helping hand,手,12,6,2531,3384.0,chan1,chan
筛,shāi,sieve/filter/screen/sift,竹,12,6,2684,3388.0,shai1,shai
痹,bì,paralysis/numbness,疒,13,6,2988,3391.0,bi4,bi
甭,béng,there is no need,用,9,6,4164,3396.0,beng2,beng
唠,láo,chat/jaw/gossip/talk,口,10,6,1891,3399.0,lao2,lao
徙,xǐ,,彳,11,6,2340,3411.0,xi3,xi
筐,kuāng,bamboo basket or chest,竹,12,6,2680,3419.0,kuang1,kuang
曝,pù,sun/air in sun/expose or dry in the sun,日,19,6,3457,3431.0,pu4,pu
嘈,cáo,noisy,口,14,6,5696,3446.0,cao2,cao
蔼,ǎi,lush/affable/friendly,艸,14,6,3074,3460.0,ai3,ai
烹,pēng,boil/cook/quick fry/stir fry,火,11,6,2377,3461.0,peng1,peng
沐,mù,bathe/cleanse/wash/shampoo,水,7,6,856,3464.0,mu4,mu
掐,qiā,hold/gather with hand/choke,手,11,6,2181,3494.0,qia1,qia
咀,jǔ,suck/chew/masticate,口,8,6,3911,3498.0,ju3,ju
吝,lìn,stingy/miserly/parsimonious,口,7,6,835,3507.0,lin4,lin
肴,yáo,cooked or prepared meat,肉,8,6,1169,3513.0,yao2,yao
溉,gài,water/irrigate/flood/wash,水,12,6,2769,3524.0,gai4,gai
疙,gē,pimple/sore/boil/wart/pustule,疒,8,6,1214,3527.0,ge1,ge
揍,zòu,hit/beat/smash/break,手,12,6,2507,3540.0,zou4,zou
倔,jué,stubborn/obstinate/intransigent/firm,人,10,6,1974,3542.0,jue2,jue
诽,fěi,slander/vilify/condemn,言,10,6,2114,3541.0,fei3,fei
攒,zǎn,save/hoard,手,19,6,6368,3548.0,zan3,zan
瘩,da,pimples,疒,14,6,3145,3549.0,da5,da
殃,yāng,misfortune/disaster/calamity,歹,9,6,1461,3562.0,yang1,yang
俐,lì,smooth/active/clever/sharp,人,9,6,1565,3564.0,li4,li
拌,bàn,mix,手,8,6,984,3570.0,ban4,ban
橙,chéng,orange,木,16,6,3331,3571.0,cheng2,cheng
簸,bǒ,winnower,竹,19,6,3462,3586.0,bo4,bo
惋,wǎn,regret/be sorry/alarmed,心,11,6,2448,3592.0,wan3,wan
惮,dàn,dread/shrink from/shirk/fear,心,11,6,4992,3601.0,dan4,dan
捎,shāo,to select/to take/to carry,手,10,6,1791,3603.0,shao1,shao
唆,suō,make mischief/incite/instigate,口,10,6,1917,3654.0,suo1,suo
榨,zhà,to press or extract juices/a press to extract juices/a vegetable,木,14,6,3082,3657.0,zha4,zha
蹋,tà,step on/tread on/stumble/slip,足,17,6,3408,3678.0,ta4,ta
叼,diāo,holding in mouth,口,5,6,252,3703.0,diao1,diao
秤,chèng,balance/scale/steelyard,禾,10,6,1943,3737.0,cheng4,cheng
惦,diàn,think of/remember/miss,心,11,6,2446,3752.0,dian4,dian
藐,miǎo,disregard/slight/disdain,艸,17,6,3393,3755.0,miao3,miao
馅,xiàn,filling/stuffing/secret,食,11,6,2372,3765.0,xian4,xian
暧,ài,obscure/dim/ambiguous/vague,日,14,6,5700,3802.0,ai4,ai
辕,yuán,,車,14,6,5686,3831.0,yuan2,yuan
馋,chán,gluttonous/greedy/lewd/lecherous,食,12,6,2725,3844.0,chan2,chan
啬,sè,miserly/thrifty/stingy,十,11,6,4780,3860.0,se4,se
踊,yǒng,leap/jump,足,14,6,3104,3884.0,yong3,yong
暄,xuān,warm/comfortable/warm/genial,日,13,6,5449,3886.0,xuan1,xuan
晾,liàng,air-dry/sun-dry,日,12,6,2625,3909.0,liang4,liang
瘸,qué,lameness/paralysis of hands/leg,疒,16,6,3369,3943.0,que2,que
挎,kuà,carry,手,9,6,1372,4005.0,ku1,ku
阂,hé,blocked or separated/to prevent,門,9,6,4319,4004.0,he2,he
雹,báo,hail,雨,13,6,2887,4037.0,bao2,bao
酗,xù,drunk/to become violent under the influence of alcohol,酉,11,6,2237,4193.0,xu4,xu
拄,zhǔ,lean on/post/prod/ridicule,手,8,6,979,4240.0,zhu3,zhu
掰,bāi,(Cant.) to tear/to rip,手,12,6,2668,4253.0,bai1,bai
荤,hūn,meat diet/strong smelling,艸,9,6,1416,4295.0,hun1,hun
饪,rèn,cooked food/cook until well done,食,7,6,3752,4491.0,ren4,ren
熨,yùn,iron/press,火,15,6,6015,4498.0,yun4,yun
涮,shuàn,rinse/cook or boil in juice,水,11,6,2433,4527.0,shuan4,shuan
锲,qiè,sickle/cut/carve/engrave,金,14,6,5733,4771.0,qie4,qie
啰,luō,phonetic,网,11,6,2286,,luo1,luo
